language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5/humaneval_cpp_to_go.jsonl,0.263415,0.020113,0.463415,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5/humaneval_cpp_to_java.jsonl,0.392683,0.023139,0.597561,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5/humaneval_cpp_to_js.jsonl,0.392683,0.023267,0.621951,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5/humaneval_cpp_to_python.jsonl,0.450000,0.020768,0.634146,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5/humaneval_cpp_to_rust.jsonl,0.280488,0.022619,0.524390,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5/humaneval_go_to_cpp.jsonl,0.267073,0.021951,0.487805,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5/humaneval_go_to_java.jsonl,0.414634,0.021610,0.585366,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5/humaneval_go_to_js.jsonl,0.491463,0.022019,0.713415,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5/humaneval_go_to_python.jsonl,0.603659,0.016810,0.731707,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5/humaneval_go_to_rust.jsonl,0.296341,0.022684,0.530488,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5/humaneval_java_to_cpp.jsonl,0.263415,0.019890,0.445122,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5/humaneval_java_to_go.jsonl,0.312195,0.018814,0.469512,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5/humaneval_java_to_js.jsonl,0.495122,0.020333,0.682927,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5/humaneval_java_to_python.jsonl,0.600000,0.018655,0.743902,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5/humaneval_java_to_rust.jsonl,0.337805,0.023010,0.554878,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5/humaneval_js_to_cpp.jsonl,0.328049,0.022354,0.560976,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5/humaneval_js_to_go.jsonl,0.387805,0.020981,0.567073,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5/humaneval_js_to_java.jsonl,0.468293,0.021541,0.664634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5/humaneval_js_to_python.jsonl,0.610976,0.019359,0.768293,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5/humaneval_js_to_rust.jsonl,0.337805,0.022287,0.548780,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5/humaneval_python_to_cpp.jsonl,0.247561,0.019740,0.420732,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5/humaneval_python_to_go.jsonl,0.350000,0.015329,0.451220,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5/humaneval_python_to_java.jsonl,0.457317,0.020187,0.628049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5/humaneval_python_to_js.jsonl,0.542683,0.022154,0.743902,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5/humaneval_python_to_rust.jsonl,0.353659,0.022019,0.567073,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5/humaneval_rust_to_cpp.jsonl,0.286585,0.022287,0.530488,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5/humaneval_rust_to_go.jsonl,0.326829,0.017333,0.463415,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5/humaneval_rust_to_java.jsonl,0.437805,0.022420,0.640244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5/humaneval_rust_to_js.jsonl,0.341463,0.020187,0.530488,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5/humaneval_rust_to_python.jsonl,0.529268,0.019205,0.682927,0.000000,,,,
total,ALL,0.395569,0.003809,0.585163,0.000000,,,,
