language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_go.jsonl,0.124390,0.019127,0.298780,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_java.jsonl,0.382927,0.022019,0.609756,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_js.jsonl,0.412195,0.023458,0.634146,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_python.jsonl,0.348780,0.024813,0.603659,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_grpo_reward80b/humaneval_cpp_to_rust.jsonl,0.292683,0.019359,0.469512,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_cpp.jsonl,0.264634,0.021883,0.487805,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_java.jsonl,0.400000,0.023267,0.621951,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_js.jsonl,0.571951,0.022880,0.762195,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_python.jsonl,0.502439,0.025812,0.774390,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_grpo_reward80b/humaneval_go_to_rust.jsonl,0.246341,0.020552,0.445122,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_cpp.jsonl,0.257317,0.021883,0.463415,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_go.jsonl,0.202439,0.019049,0.384146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_js.jsonl,0.471951,0.021951,0.664634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_python.jsonl,0.528049,0.025522,0.786585,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_grpo_reward80b/humaneval_java_to_rust.jsonl,0.323171,0.022154,0.518293,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_cpp.jsonl,0.351220,0.025229,0.628049,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_go.jsonl,0.268293,0.022684,0.506098,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_java.jsonl,0.448780,0.022880,0.664634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_python.jsonl,0.553659,0.024268,0.774390,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_grpo_reward80b/humaneval_js_to_rust.jsonl,0.220732,0.020696,0.420732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_cpp.jsonl,0.268293,0.017672,0.420732,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_go.jsonl,0.185366,0.018735,0.359756,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_java.jsonl,0.456098,0.020260,0.634146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_js.jsonl,0.520732,0.022750,0.725610,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_grpo_reward80b/humaneval_python_to_rust.jsonl,0.358537,0.020187,0.548780,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_cpp.jsonl,0.306098,0.023584,0.530488,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_go.jsonl,0.154878,0.019359,0.341463,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_java.jsonl,0.441463,0.022019,0.652439,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_js.jsonl,0.420732,0.022221,0.603659,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_grpo_reward80b/humaneval_rust_to_python.jsonl,0.440244,0.024329,0.676829,0.000000,,,,
total,ALL,0.357480,0.004039,0.567073,0.000000,,,,
